"","Site.Name","Date","Month","Year","COUNTY","meanlat","meanlong","PM2.5","Ozone"
"91","Bryson City",2018-04-01,4,2018,"Swain",35.434767,-83.442133,30,44
"92","Bryson City",2018-04-02,4,2018,"Swain",35.434767,-83.442133,43,44
"93","Bryson City",2018-04-03,4,2018,"Swain",35.434767,-83.442133,50,40
"94","Bryson City",2018-04-04,4,2018,"Swain",35.434767,-83.442133,18,43
"95","Bryson City",2018-04-05,4,2018,"Swain",35.434767,-83.442133,28,46
"96","Bryson City",2018-04-06,4,2018,"Swain",35.434767,-83.442133,37,33
"97","Bryson City",2018-04-07,4,2018,"Swain",35.434767,-83.442133,20,33
"98","Bryson City",2018-04-08,4,2018,"Swain",35.434767,-83.442133,10,42
"99","Bryson City",2018-04-09,4,2018,"Swain",35.434767,-83.442133,19,34
"100","Bryson City",2018-04-10,4,2018,"Swain",35.434767,-83.442133,32,44
"101","Bryson City",2018-04-11,4,2018,"Swain",35.434767,-83.442133,27,41
"102","Bryson City",2018-04-12,4,2018,"Swain",35.434767,-83.442133,50,54
"103","Bryson City",2018-04-13,4,2018,"Swain",35.434767,-83.442133,68,64
"104","Bryson City",2018-04-14,4,2018,"Swain",35.434767,-83.442133,48,44
"105","Bryson City",2018-04-15,4,2018,"Swain",35.434767,-83.442133,25,36
"106","Bryson City",2018-04-16,4,2018,"Swain",35.434767,-83.442133,13,40
"107","Bryson City",2018-04-17,4,2018,"Swain",35.434767,-83.442133,26,51
"108","Bryson City",2018-04-18,4,2018,"Swain",35.434767,-83.442133,35,54
"109","Bryson City",2018-04-19,4,2018,"Swain",35.434767,-83.442133,28,41
"110","Bryson City",2018-04-20,4,2018,"Swain",35.434767,-83.442133,17,50
"111","Bryson City",2018-04-21,4,2018,"Swain",35.434767,-83.442133,36,67
"112","Bryson City",2018-04-22,4,2018,"Swain",35.434767,-83.442133,40,44
"113","Bryson City",2018-04-23,4,2018,"Swain",35.434767,-83.442133,15,43
"114","Bryson City",2018-04-24,4,2018,"Swain",35.434767,-83.442133,9,33
"115","Bryson City",2018-04-25,4,2018,"Swain",35.434767,-83.442133,6,37
"116","Bryson City",2018-04-26,4,2018,"Swain",35.434767,-83.442133,14,25
"117","Bryson City",2018-04-27,4,2018,"Swain",35.434767,-83.442133,24,51
"118","Bryson City",2018-04-28,4,2018,"Swain",35.434767,-83.442133,35,64
"119","Bryson City",2018-04-29,4,2018,"Swain",35.434767,-83.442133,20,49
"120","Bryson City",2018-04-30,4,2018,"Swain",35.434767,-83.442133,22,45
"121","Bryson City",2018-05-01,5,2018,"Swain",35.434767,-83.442133,30,71
"122","Bryson City",2018-05-02,5,2018,"Swain",35.434767,-83.442133,46,50
"123","Bryson City",2018-05-03,5,2018,"Swain",35.434767,-83.442133,51,49
"124","Bryson City",2018-05-04,5,2018,"Swain",35.434767,-83.442133,48,42
"125","Bryson City",2018-05-05,5,2018,"Swain",35.434767,-83.442133,57,28
"126","Bryson City",2018-05-06,5,2018,"Swain",35.434767,-83.442133,25,51
"127","Bryson City",2018-05-07,5,2018,"Swain",35.434767,-83.442133,33,NA
"128","Bryson City",2018-05-08,5,2018,"Swain",35.434767,-83.442133,29,46
"129","Bryson City",2018-05-09,5,2018,"Swain",35.434767,-83.442133,30,47
"130","Bryson City",2018-05-10,5,2018,"Swain",35.434767,-83.442133,43,46
"131","Bryson City",2018-05-11,5,2018,"Swain",35.434767,-83.442133,42,49
"132","Bryson City",2018-05-12,5,2018,"Swain",35.434767,-83.442133,51,48
"133","Bryson City",2018-05-13,5,2018,"Swain",35.434767,-83.442133,49,44
"134","Bryson City",2018-05-14,5,2018,"Swain",35.434767,-83.442133,52,39
"135","Bryson City",2018-05-15,5,2018,"Swain",35.434767,-83.442133,54,26
"136","Bryson City",2018-05-16,5,2018,"Swain",35.434767,-83.442133,27,23
"137","Bryson City",2018-05-17,5,2018,"Swain",35.434767,-83.442133,23,22
"138","Bryson City",2018-05-18,5,2018,"Swain",35.434767,-83.442133,25,31
"139","Bryson City",2018-05-19,5,2018,"Swain",35.434767,-83.442133,36,37
"140","Bryson City",2018-05-20,5,2018,"Swain",35.434767,-83.442133,38,32
"141","Bryson City",2018-05-21,5,2018,"Swain",35.434767,-83.442133,25,29
"142","Bryson City",2018-05-22,5,2018,"Swain",35.434767,-83.442133,22,25
"143","Bryson City",2018-05-23,5,2018,"Swain",35.434767,-83.442133,15,36
"144","Bryson City",2018-05-24,5,2018,"Swain",35.434767,-83.442133,33,37
"145","Bryson City",2018-05-25,5,2018,"Swain",35.434767,-83.442133,15,26
"146","Bryson City",2018-05-26,5,2018,"Swain",35.434767,-83.442133,10,29
"147","Bryson City",2018-05-27,5,2018,"Swain",35.434767,-83.442133,NA,23
"148","Bryson City",2018-05-28,5,2018,"Swain",35.434767,-83.442133,NA,13
"149","Bryson City",2018-05-29,5,2018,"Swain",35.434767,-83.442133,NA,19
"150","Bryson City",2018-05-30,5,2018,"Swain",35.434767,-83.442133,8,29
"151","Bryson City",2018-05-31,5,2018,"Swain",35.434767,-83.442133,20,31
"152","Bryson City",2018-06-01,6,2018,"Swain",35.434767,-83.442133,18,44
"153","Bryson City",2018-06-02,6,2018,"Swain",35.434767,-83.442133,27,39
"154","Bryson City",2018-06-03,6,2018,"Swain",35.434767,-83.442133,32,42
"155","Bryson City",2018-06-04,6,2018,"Swain",35.434767,-83.442133,23,58
"156","Bryson City",2018-06-05,6,2018,"Swain",35.434767,-83.442133,26,46
"157","Bryson City",2018-06-06,6,2018,"Swain",35.434767,-83.442133,33,58
"158","Bryson City",2018-06-07,6,2018,"Swain",35.434767,-83.442133,41,61
"159","Bryson City",2018-06-08,6,2018,"Swain",35.434767,-83.442133,NA,43
"160","Bryson City",2018-06-09,6,2018,"Swain",35.434767,-83.442133,NA,38
"161","Bryson City",2018-06-10,6,2018,"Swain",35.434767,-83.442133,NA,41
"162","Bryson City",2018-06-11,6,2018,"Swain",35.434767,-83.442133,NA,38
"163","Bryson City",2018-06-12,6,2018,"Swain",35.434767,-83.442133,NA,37
"164","Bryson City",2018-06-13,6,2018,"Swain",35.434767,-83.442133,NA,29
"165","Bryson City",2018-06-14,6,2018,"Swain",35.434767,-83.442133,NA,43
"166","Bryson City",2018-06-15,6,2018,"Swain",35.434767,-83.442133,NA,45
"167","Bryson City",2018-06-16,6,2018,"Swain",35.434767,-83.442133,NA,40
"168","Bryson City",2018-06-17,6,2018,"Swain",35.434767,-83.442133,NA,35
"169","Bryson City",2018-06-18,6,2018,"Swain",35.434767,-83.442133,NA,32
"170","Bryson City",2018-06-19,6,2018,"Swain",35.434767,-83.442133,NA,39
"171","Bryson City",2018-06-20,6,2018,"Swain",35.434767,-83.442133,NA,27
"172","Bryson City",2018-06-21,6,2018,"Swain",35.434767,-83.442133,NA,19
"173","Bryson City",2018-06-22,6,2018,"Swain",35.434767,-83.442133,23,38
"174","Bryson City",2018-06-23,6,2018,"Swain",35.434767,-83.442133,23,37
"175","Bryson City",2018-06-24,6,2018,"Swain",35.434767,-83.442133,25,24
"176","Bryson City",2018-06-25,6,2018,"Swain",35.434767,-83.442133,21,25
"177","Bryson City",2018-06-26,6,2018,"Swain",35.434767,-83.442133,15,22
"178","Bryson City",2018-06-27,6,2018,"Swain",35.434767,-83.442133,19,30
"179","Bryson City",2018-06-28,6,2018,"Swain",35.434767,-83.442133,NA,31
"180","Bryson City",2018-06-29,6,2018,"Swain",35.434767,-83.442133,NA,34
"181","Bryson City",2018-06-30,6,2018,"Swain",35.434767,-83.442133,NA,39
"182","Bryson City",2018-07-01,7,2018,"Swain",35.434767,-83.442133,NA,27
"183","Bryson City",2018-07-02,7,2018,"Swain",35.434767,-83.442133,NA,29
"184","Bryson City",2018-07-03,7,2018,"Swain",35.434767,-83.442133,24,31
"185","Bryson City",2018-07-04,7,2018,"Swain",35.434767,-83.442133,51,40
"186","Bryson City",2018-07-05,7,2018,"Swain",35.434767,-83.442133,38,29
"187","Bryson City",2018-07-06,7,2018,"Swain",35.434767,-83.442133,32,26
"188","Bryson City",2018-07-07,7,2018,"Swain",35.434767,-83.442133,29,28
"189","Bryson City",2018-07-08,7,2018,"Swain",35.434767,-83.442133,33,32
"190","Bryson City",2018-07-09,7,2018,"Swain",35.434767,-83.442133,34,37
"191","Bryson City",2018-07-10,7,2018,"Swain",35.434767,-83.442133,36,38
"192","Bryson City",2018-07-11,7,2018,"Swain",35.434767,-83.442133,38,37
"193","Bryson City",2018-07-12,7,2018,"Swain",35.434767,-83.442133,47,38
"194","Bryson City",2018-07-13,7,2018,"Swain",35.434767,-83.442133,43,37
"195","Bryson City",2018-07-14,7,2018,"Swain",35.434767,-83.442133,46,39
"196","Bryson City",2018-07-15,7,2018,"Swain",35.434767,-83.442133,36,33
"197","Bryson City",2018-07-16,7,2018,"Swain",35.434767,-83.442133,30,30
"198","Bryson City",2018-07-17,7,2018,"Swain",35.434767,-83.442133,26,5
"199","Bryson City",2018-07-18,7,2018,"Swain",35.434767,-83.442133,32,43
"200","Bryson City",2018-07-19,7,2018,"Swain",35.434767,-83.442133,36,37
"201","Bryson City",2018-07-20,7,2018,"Swain",35.434767,-83.442133,44,40
"202","Bryson City",2018-07-21,7,2018,"Swain",35.434767,-83.442133,22,44
"203","Bryson City",2018-07-22,7,2018,"Swain",35.434767,-83.442133,26,37
"204","Bryson City",2018-07-23,7,2018,"Swain",35.434767,-83.442133,20,36
"205","Bryson City",2018-07-24,7,2018,"Swain",35.434767,-83.442133,21,31
"206","Bryson City",2018-07-25,7,2018,"Swain",35.434767,-83.442133,25,35
"207","Bryson City",2018-07-26,7,2018,"Swain",35.434767,-83.442133,38,40
"208","Bryson City",2018-07-27,7,2018,"Swain",35.434767,-83.442133,44,42
"209","Bryson City",2018-07-28,7,2018,"Swain",35.434767,-83.442133,40,40
"210","Bryson City",2018-07-29,7,2018,"Swain",35.434767,-83.442133,36,40
"211","Bryson City",2018-07-30,7,2018,"Swain",35.434767,-83.442133,40,41
"212","Bryson City",2018-07-31,7,2018,"Swain",35.434767,-83.442133,27,31
"213","Bryson City",2018-08-01,8,2018,"Swain",35.434767,-83.442133,25,31
"214","Bryson City",2018-08-02,8,2018,"Swain",35.434767,-83.442133,7,23
"215","Bryson City",2018-08-03,8,2018,"Swain",35.434767,-83.442133,10,25
"216","Bryson City",2018-08-04,8,2018,"Swain",35.434767,-83.442133,15,27
"217","Bryson City",2018-08-05,8,2018,"Swain",35.434767,-83.442133,25,29
"218","Bryson City",2018-08-06,8,2018,"Swain",35.434767,-83.442133,27,24
"219","Bryson City",2018-08-07,8,2018,"Swain",35.434767,-83.442133,27,26
"220","Bryson City",2018-08-08,8,2018,"Swain",35.434767,-83.442133,27,26
"221","Bryson City",2018-08-09,8,2018,"Swain",35.434767,-83.442133,18,32
"222","Bryson City",2018-08-10,8,2018,"Swain",35.434767,-83.442133,19,28
"223","Bryson City",2018-08-11,8,2018,"Swain",35.434767,-83.442133,24,31
"224","Bryson City",2018-08-12,8,2018,"Swain",35.434767,-83.442133,41,36
"225","Bryson City",2018-08-13,8,2018,"Swain",35.434767,-83.442133,45,31
"226","Bryson City",2018-08-14,8,2018,"Swain",35.434767,-83.442133,47,34
"227","Bryson City",2018-08-15,8,2018,"Swain",35.434767,-83.442133,54,28
